abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
See all results from the New York primary election.,See all results from the New York primary election.,"{'main': 'New York Primary Election Results', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['New York State', 'New York City', 'City Council (NYC)', 'Elections, City Councils', 'Elections', 'Primaries and Caucuses', 'New York State', 'New York City', 'City Council (NYC)', 'Elections, Mayors', 'Elections, District Attorneys', 'Elections, City Councils', 'Elections', 'City Councils', 'Primaries and Caucuses']",2023-06-28T00:35:03+0000,multimedia,U.S.
See full results from the New York City Council primary election.,See full results from the New York City Council primary election.,"{'main': 'New York City Council Primary Election Results', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['New York State', 'New York City', 'City Council (NYC)', 'Elections, Mayors', 'Elections, District Attorneys', 'Elections, City Councils', 'Elections', 'City Councils', 'Primaries and Caucuses']",2023-06-28T00:35:04+0000,multimedia,U.S.
"Belarus said it had taken in the mercenary boss Yevgeny V. Prigozhin and might welcome his Wagner troops, while Russia dropped a criminal investigation of him for the weekend uprising.","President Vladimir V. Putin of Russia on Tuesday tried to recast the weekend rebellion by the mercenary chief Yevgeny V. Prigozhin as a heroic episode for a rock-solid Russian state, while neighboring Belarus said Mr. Prigozhin had gone into exile there, and signaled that it would be open to taking in his battle-hardened troops, as well.","{'main': 'Putin Casts Mutiny as Proof of Solidity, as Belarus Opens Doors to Rebels', 'kicker': None, 'content_kicker': None, 'print_headline': 'Putin Recasts A Bold Mutiny As His Victory', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Mercenaries and Private Military Contractors', 'Defense and Military Forces', 'International Relations', 'Wagner Group', 'Putin, Vladimir V', 'Lukashenko, Aleksandr G', 'Prigozhin, Yevgeny V', 'Shoigu, Sergei K', 'Zolotov, Viktor V', 'Russia', 'Belarus']",2023-06-28T00:36:46+0000,article,World
"The 11-member board did not vote on the surprise pact, whose most significant details are still being negotiated.","The PGA Tour’s board, with its members gathered in the same room for the first time since a fraction of them negotiated a deal with Saudi Arabia’s sovereign wealth fund to reshape golf, signaled Tuesday that it intended to move ahead with the agreement and past an outcry that has stretched from clubhouse locker rooms to Capitol Hill.","{'main': 'PGA Tour Board Meets as Scrutiny of Saudi Deal Swells', 'kicker': None, 'content_kicker': None, 'print_headline': 'PGA Tour Board Meets, Hoping To Stabilize Amid the Turbulence', 'name': None, 'seo': None, 'sub': None}","['Golf', 'Boards of Directors', 'Mergers, Acquisitions and Divestitures', 'LIV Golf', 'PGA Tour Inc', 'Public Investment Fund (Saudi Arabia)', 'Saudi Arabia']",2023-06-28T00:45:14+0000,article,Sports
"Four men from Mexico were arrested this week, bringing to six the number of people charged after a tractor-trailer was found carrying dead migrants near San Antonio last year.","Four more men have been arrested in Texas in connection with a human smuggling operation that left 53 people dead on the outskirts of San Antonio last year, federal prosecutors said on Tuesday.","{'main': '4 More Arrested in Human Smuggling Case That Left 53 Dead in Texas', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Smuggling', 'Illegal Immigration', 'Deaths (Fatalities)', 'Garland, Merrick B', 'San Antonio (Tex)', 'Texas', 'United States']",2023-06-28T01:09:13+0000,article,U.S.
"Yevgeny Prigozhin, the head of Wagner, may have believed he had support in Russia’s military.","After this article was published, the Kremlin’s spokesman, Dmitri S. Peskov, issued a curt response and insisted on Wednesday that Russia’s army and people had unified around Mr. Putin.","{'main': 'Russian General Knew About Mercenary Chief’s Rebellion Plans, U.S. Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'Russian General Knew Rebellion Was Imminent', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Mercenaries and Private Military Contractors', 'Defense and Military Forces', 'Espionage and Intelligence Services', 'United States International Relations', 'Prigozhin, Yevgeny V', 'Surovikin, Sergei', 'Gerasimov, Valery V', 'Putin, Vladimir V', 'Shoigu, Sergei K', 'Russia', 'Ukraine']",2023-06-28T01:20:19+0000,article,U.S.
Matt Fuchs and Victor Sloan have us cross-eyed.,Jump to: Today’s Theme | Tricky Clues,"{'main': 'Completely Disoriented', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Crossword Puzzles'],2023-06-28T02:00:09+0000,article,Crosswords & Games
"In an interview before his first official trip to Washington, Boris Pistorius made clear he is intent on helping the United States by taking a more assertive stance.","In an interview before his first official visit to Washington, Germany’s defense minister staked out a broad geopolitical vision, taking pains to indicate that his country is ready to assume a more assertive stance in the face of growing international instability.","{'main': 'German Defense Minister Vows Stronger Geopolitical Role Ahead of U.S. Visit', 'kicker': None, 'content_kicker': None, 'print_headline': 'Germany Plans More Prominent Global Role, Its Defense Minister Says', 'name': None, 'seo': None, 'sub': None}","['Defense and Military Forces', 'United States International Relations', 'Pistorius, Boris', 'Europe', 'Germany', 'North Atlantic Treaty Organization', 'South China Sea', 'Lithuania']",2023-06-28T04:00:14+0000,article,World
"The authority owns some real estate, but a lot less than people may think.",Good morning. It’s Wednesday. We’ll answer one of your questions about the Metropolitan Transportation Authority from a few weeks ago. We’ll also find out why Mayor Eric Adams says public school students should take a deep breath. And another. And another.,"{'main': 'The M.T.A. Does Not Have a Property Empire', 'kicker': 'New York Today', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['New York City', 'internal-storyline-no', 'Railroads', 'Transit Systems', 'Congestion Pricing', 'Subways', 'Metropolitan Transportation Authority', 'Adams, Eric L']",2023-06-28T04:30:05+0000,article,New York
Prigozhin’s whereabouts.,"The mercenary leader Yevgeny Prigozhin arrived in Belarus yesterday, according to Belarusian state media, ending days of speculation over his whereabouts after he called off a weekend uprising that marked a dramatic challenge to the rule of President Vladimir Putin of Russia.","{'main': 'Your Wednesday Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T04:45:24+0000,article,Briefing
"Quotation of the Day for Wednesday, June 28, 2023.",“It’s an archeo-pizza.”,"{'main': 'Quotation of the Day: Suggestions of Pizza’s Past in a Pompeii Fresco', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T04:53:07+0000,article,Corrections
"Corrections that appeared in print on Wednesday, June 28, 2023.","An article on Tuesday about restoring ecological health to Ireland misstated the name of the organization that Padraic Fogarty works for. It is the Irish Wildlife Trust, not Wildlife Ireland. The article also misstated the status of the lynx in Scotland. While reintroducing the animal into the wild has been widely discussed, it has not yet happened.","{'main': 'Corrections: June 28, 2023', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T05:02:26+0000,article,Corrections
This word has appeared in eight articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word vainglorious has appeared in eight articles on NYTimes.com in the past year, including on May 25 in “Seeing Beyond the Beauty of a Vermeer” by Teju Cole:","{'main': 'Word of the Day: vainglorious', 'kicker': 'Word of the day', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T06:00:02+0000,article,The Learning Network
Our columnist reviews the day’s puzzle. Warning: Contains spoilers!,"Welcome to The Wordle Review. Be warned: This article contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.","{'main': 'Today’s Wordle Review', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Wordle (Puzzle)']",2023-06-28T07:00:09+0000,article,Crosswords & Games
Feeling stuck on today’s puzzle? We can help.,"WEDNESDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”","{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Spelling Bee (Game)'],2023-06-28T07:00:11+0000,article,Crosswords & Games
"It’s widely discussed in China: Employers don’t want you after 35. Some job listings say it plainly, leaving a generation of prime-age workers feeling defeated.","When Sean Liang turned 30, he started thinking of the Curse of 35 — the widespread belief in China that white-collar workers like him confront unavoidable job insecurity after they hit that age. In the eyes of employers, the Curse goes, they’re more expensive than new graduates and not as willing to work overtime.","{'main': 'No Job, No Marriage, No Kid: China’s Workers and the Curse of 35', 'kicker': 'the new new world', 'content_kicker': None, 'print_headline': 'In China, Fearing the Curse of 35', 'name': None, 'seo': None, 'sub': None}","['Labor and Jobs', 'Age, Chronological', 'Hiring and Promotion', 'Unemployment', 'Careers and Professions', 'Layoffs and Job Reductions', 'Discrimination', 'Beijing (China)', 'China', 'Shanghai (China)']",2023-06-28T07:00:14+0000,article,Business Day
"In the 1970s, New York City was rescued by a collaboration of union leaders and money men. Could such an alliance happen today?","On Oct. 17, 1975, New Yorkers learned from the morning papers that the city was more or less finished. The big bill — $453 million that City Hall owed its creditors after years of borrowing — was due at 4 o’clock that afternoon.","{'main': 'Richard Ravitch and the Matzo Summit That Saved New York', 'kicker': 'Big CITY', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Organized Labor', 'Teachers and School Employees', 'Nineteen Hundred Seventies', 'Municipal Assistance Corp', 'Ravitch, Richard', 'Rohatyn, Felix G', 'New York City', 'Shanker, Albert', 'United Federation of Teachers', 'District Council 37', 'Gotbaum, Victor']",2023-06-28T07:00:16+0000,article,New York
"As a deadline looms for reaching a gambling deal with the Seneca Nation of Indians, Gov. Kathy Hochul’s office tried to give the tribe a new casino near Rochester. It backfired.","For months, talks over a new casino deal between New York State and the Seneca Nation of Indians have been at an impasse, with the two sides deadlocked over the size of the state’s cut of hundreds of millions of dollars in gambling revenue, and what the tribe would get in return.","{'main': 'The Secret Deal for a Tribal Casino and Why It Imploded', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Casinos', 'Seneca Indians', 'Hochul, Kathleen C', 'Politics and Government', 'Law and Legislation', 'Rochester (NY)', 'New York State', 'Gambling', 'Native Americans']",2023-06-28T07:00:16+0000,article,New York
The actor will appear in a London courtroom on Wednesday to face a four-week trial over allegations of sexual assault.,"The Oscar-winning actor Kevin Spacey is scheduled to go on trial in London on Wednesday, facing multiple allegations of sexual assault.","{'main': 'What to Know About Kevin Spacey’s U.K. Sexual Offenses Trial', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Sexual Harassment', 'Actors and Actresses', '#MeToo Movement', 'Spacey, Kevin', 'London (England)']",2023-06-28T07:00:18+0000,article,Arts
"The tolls will mostly be collected electronically through the E-ZPass system, and drivers should expect penalties for late payments.","New York City is ready to build a first-in-the-nation congestion pricing program, designed to collect billions of dollars to fund mass transit while discouraging drivers from jamming up Midtown Manhattan.","{'main': 'How Might Congestion Pricing Actually Work in New York?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Congestion Pricing', 'Tolls', 'E-ZPass', 'New York City', 'Manhattan (NYC)']",2023-06-28T07:00:18+0000,article,New York
No country has had more export success than China. But Beijing faces risks in turning to the tested method of selling more abroad.,China dominates the global sale of solar panels and has caught up with Japan as the world’s largest car exporter. ‌It is even gaining in ‌the worldwide ‌sale of low-tech products like shoes.,"{'main': 'Can China Export Its Way Out of Its Economic Slump?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Could Beijing  Export Its Way  Out of a Dip?', 'name': None, 'seo': None, 'sub': None}","['International Trade and World Market', 'Factories and Manufacturing', 'Economic Conditions and Trends', 'Electric and Hybrid Vehicles', 'China', 'Germany', 'United States']",2023-06-28T07:00:19+0000,article,Business Day
Captains will be offered choices reflecting several anti-discrimination efforts. The rainbow-colored design is similar to one banned at the men’s World Cup in Qatar.,"UPDATE, Friday, June 30: FIFA on Friday confirmed the rules for the armbands team captains can wear at the Women’s World Cup described in this article. One design includes a rainbow-colored design, but FIFA took pains to differentiate its from a familiar pride design some teams have worn for years. This article has been updated to note the approved slogans and designs.","{'main': 'FIFA Will Allow Rainbow Armbands at Women’s World Cup', 'kicker': None, 'content_kicker': None, 'print_headline': 'FIFA Appears Poised to Allow Rainbow Armbands at the Women’s World Cup', 'name': None, 'seo': None, 'sub': None}","['Soccer', ""Women's World Cup (Soccer)"", 'International Federation of Association Football (FIFA)', 'Infantino, Gianni', 'Discrimination', 'Homosexuality and Bisexuality']",2023-06-28T08:28:32+0000,article,Sports
"A three-bedroom rowhouse in Richmond, a hillside retreat in Black Mountain and a 1908 cottage in New Orleans.","This house is on a tree-lined street a few blocks from West Cary Street, putting it within walking distance of the Byrd Theatre, a 1928 movie theater listed on the National Register of Historic Places. It is also close to a Japanese grocery store, a record shop and a toy store, as well as numerous restaurants, including those serving Greek food and homemade ice cream.","{'main': '$630,000 Homes in Virginia, North Carolina and Louisiana', 'kicker': 'What You Get', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Real Estate and Housing (Residential)', 'New Orleans (La)', 'Richmond (Va)', 'Asheville (NC)', 'Black Mountain (NC)']",2023-06-28T09:00:15+0000,article,Real Estate
We tested five services that claim to detect what is real and what isn’t.,We tested five services that claim to detect what is real and what isn’t.,"{'main': 'How Easy Is It to Fool A.I.-Detection Tools?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Artificial Intelligence', 'Photography', 'Computers and the Internet', 'Social Media']",2023-06-28T09:00:19+0000,multimedia,Technology
President Biden hopes to claim credit for what the White House describes as a record-breaking economic revival in America.,"President Biden began a concerted campaign on Wednesday to claim credit for an economic revival in America, powered by policies that he said represent a fundamental break from the Republican approach “that has failed America’s middle class for decades.”","{'main': 'Biden Says He Is ‘Turning Things Around’ on the Economy', 'kicker': None, 'content_kicker': None, 'print_headline': 'Biden, in Campaign Mode, Lauds the Economy', 'name': None, 'seo': None, 'sub': None}","['Biden, Joseph R Jr', 'United States Economy', 'United States Politics and Government', 'Presidential Election of 2024', 'Infrastructure (Public Works)', 'Labor and Jobs', 'Polls and Public Opinion', 'Inflation (Economics)']",2023-06-28T09:00:32+0000,article,U.S.
The Muslim holiday is a reminder that there is more than one way to think about time.,I always struggle to explain Eid al-Adha. It’s not just the story of the holiday that’s inaccessible to your average American — at its meaty core is a tale of animal slaughter — but also its timeline. I explain that the holiday commemorates how willing a prophet was to sacrifice anything for God — including his own son. (Spoiler alert: He lives.),"{'main': 'A Tiny, Wonderful Rebellion Against the Tyranny of Time Has Begun', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': 'A Tiny, Joyous Revolt Against the Tyranny of Time', 'name': None, 'seo': None, 'sub': None}","['Muslim Americans', 'Holidays and Special Occasions', 'Muslims and Islam']",2023-06-28T09:00:36+0000,article,Opinion
